id,age,job,marital,education,credit_default,housing,loan
6584,39,blue-collar,single,basic_4y,unknown,no,no
6585,40,admin,married,university_degree,no,yes,no
6586,56,blue-collar,married,basic_9y,unknown,no,no
6587,39,admin,married,high_school,no,no,no
6588,40,admin,single,high_school,no,yes,no
6589,33,blue-collar,married,basic_6y,no,yes,no
6590,47,blue-collar,married,basic_4y,unknown,yes,no
6591,29,admin,single,high_school,no,yes,no
6592,55,admin,married,high_school,no,yes,no
6593,38,admin,single,university_degree,no,yes,no
6594,43,housemaid,married,basic_4y,unknown,yes,yes
6595,35,technician,single,university_degree,no,yes,no
6596,33,blue-collar,married,basic_6y,no,yes,no
6597,28,admin,married,basic_6y,no,no,no
6598,34,admin,married,university_degree,no,no,no
6599,30,blue-collar,single,basic_9y,no,no,no
6600,27,blue-collar,single,basic_9y,no,yes,no
6601,35,technician,married,university_degree,unknown,no,no
6602,42,entrepreneur,married,high_school,no,yes,no
6603,30,blue-collar,married,,no,no,no
6604,31,services,single,high_school,unknown,yes,no
6605,50,services,married,basic_4y,unknown,yes,no
6606,33,blue-collar,married,basic_6y,no,no,no
6607,55,retired,married,high_school,no,no,no
6608,35,management,married,basic_9y,no,yes,yes
6609,25,entrepreneur,single,university_degree,no,yes,no
6610,47,blue-collar,married,basic_4y,unknown,yes,no
6611,49,housemaid,married,basic_4y,unknown,no,no
6612,27,technician,married,high_school,no,no,no
6613,50,management,married,university_degree,no,yes,no
6614,48,entrepreneur,married,university_degree,no,no,no
6615,35,entrepreneur,married,high_school,no,no,no
6616,30,technician,single,high_school,no,no,no
6617,31,blue-collar,married,basic_6y,no,no,no
6618,49,management,divorced,university_degree,no,no,no
6619,43,blue-collar,married,basic_9y,no,no,no
6620,39,blue-collar,married,basic_9y,unknown,no,no
6621,35,technician,married,university_degree,unknown,no,no
6622,32,blue-collar,married,basic_9y,unknown,unknown,unknown
6623,36,management,single,university_degree,no,yes,no
6624,31,entrepreneur,single,basic_9y,no,no,no
6625,35,retired,married,professional_course,no,no,no
6626,56,retired,married,basic_6y,no,yes,no
6627,37,management,married,university_degree,no,no,no
6628,38,admin,married,professional_course,no,no,no
6629,25,unemployed,single,high_school,unknown,no,no
6630,35,blue-collar,married,,no,no,no
6631,25,blue-collar,married,basic_9y,no,no,no
6632,27,admin,single,,no,yes,no
6633,57,housemaid,divorced,basic_4y,unknown,yes,no
6634,35,blue-collar,married,basic_4y,unknown,no,no
6635,49,services,married,high_school,unknown,yes,no
6636,46,blue-collar,married,,no,no,no
6637,32,blue-collar,married,basic_6y,no,yes,no
6638,48,admin,single,high_school,no,yes,no
6639,30,technician,single,university_degree,unknown,no,no
6640,30,technician,married,university_degree,no,yes,no
6641,49,retired,married,basic_4y,no,no,no
6642,50,blue-collar,married,basic_6y,unknown,no,no
6643,33,services,married,basic_4y,no,no,no
6644,45,blue-collar,married,basic_6y,unknown,no,no
6645,48,retired,married,basic_4y,no,no,no
6646,55,admin,divorced,university_degree,no,yes,no
6647,27,blue-collar,single,basic_4y,unknown,no,yes
6648,54,technician,married,professional_course,no,no,no
6649,38,blue-collar,married,basic_9y,no,yes,no
6650,45,admin,married,high_school,no,no,no
6651,43,blue-collar,married,basic_4y,unknown,no,no
6652,31,technician,married,university_degree,no,no,yes
6653,45,technician,married,high_school,no,no,no
6654,44,technician,single,high_school,no,no,no
6655,36,blue-collar,married,basic_9y,no,yes,no
6656,33,blue-collar,married,basic_9y,no,no,no
6657,30,services,single,basic_9y,no,no,no
6658,31,blue-collar,married,basic_4y,no,yes,no
6659,27,blue-collar,married,basic_9y,no,no,no
6660,54,admin,married,high_school,no,unknown,unknown
6661,39,admin,single,high_school,no,yes,no
6662,33,admin,married,university_degree,no,no,no
6663,45,services,married,high_school,unknown,no,no
6664,44,technician,married,professional_course,unknown,yes,yes
6665,42,unemployed,single,basic_4y,unknown,yes,no
6666,55,admin,married,basic_9y,no,no,no
6667,40,services,married,basic_6y,unknown,yes,no
6668,51,entrepreneur,married,basic_9y,no,no,yes
6669,29,management,single,university_degree,no,no,no
6670,33,blue-collar,single,basic_9y,no,no,no
6671,46,blue-collar,married,professional_course,no,no,no
6672,31,blue-collar,married,basic_9y,no,no,no
6673,41,admin,married,basic_9y,unknown,no,no
6674,52,services,married,,unknown,no,no
6675,49,management,divorced,university_degree,unknown,no,yes
6676,46,housemaid,married,basic_4y,unknown,no,no
6677,29,services,married,high_school,unknown,no,no
6678,41,management,married,basic_6y,no,yes,no
6679,42,retired,married,basic_9y,unknown,yes,no
6680,39,housemaid,married,university_degree,no,yes,no
6681,45,admin,married,basic_9y,no,yes,no
6682,35,services,divorced,professional_course,unknown,no,no
6683,44,management,married,basic_9y,unknown,no,no
6684,32,technician,single,university_degree,no,yes,no
6685,36,admin,single,high_school,no,no,yes
6686,43,management,married,basic_6y,unknown,no,no
6687,42,technician,married,basic_9y,no,yes,no
6688,39,blue-collar,married,basic_6y,no,yes,no
6689,35,services,divorced,professional_course,no,yes,yes
6690,30,blue-collar,single,basic_9y,unknown,no,no
6691,34,blue-collar,married,basic_4y,no,yes,no
6692,39,admin,married,basic_6y,unknown,no,no
6693,55,retired,divorced,professional_course,no,no,yes
6694,29,blue-collar,single,professional_course,no,no,no
6695,53,technician,married,professional_course,unknown,no,no
6696,31,admin,married,high_school,no,no,no
6697,59,retired,divorced,basic_9y,unknown,no,yes
6698,43,technician,divorced,,no,no,no
6699,33,admin,married,high_school,no,yes,no
6700,36,blue-collar,married,basic_9y,unknown,no,no
6701,31,technician,married,professional_course,no,no,no
6702,31,admin,divorced,university_degree,unknown,no,no
6703,27,blue-collar,married,basic_6y,unknown,no,no
6704,40,admin,single,university_degree,no,no,no
6705,47,blue-collar,married,basic_4y,no,no,no
6706,42,admin,single,university_degree,no,no,no
6707,35,blue-collar,divorced,basic_4y,no,yes,yes
6708,24,services,married,high_school,no,yes,no
6709,55,unemployed,married,basic_4y,unknown,yes,no
6710,49,blue-collar,married,basic_4y,no,yes,no
6711,36,services,married,high_school,no,yes,no
6712,34,blue-collar,married,basic_9y,no,yes,no
6713,28,services,single,high_school,no,no,no
6714,50,technician,married,professional_course,unknown,yes,yes
6715,27,blue-collar,married,basic_9y,unknown,yes,no
6716,42,blue-collar,married,basic_4y,no,yes,no
6717,52,blue-collar,single,basic_4y,no,unknown,unknown
6718,34,admin,married,high_school,no,no,no
6719,44,admin,single,high_school,no,no,no
6720,39,services,married,high_school,no,no,no
6721,27,blue-collar,married,basic_9y,unknown,yes,no
6722,50,management,married,university_degree,no,yes,no
6723,27,management,single,university_degree,no,no,yes
6724,33,services,single,basic_6y,unknown,yes,no
6725,49,blue-collar,married,basic_4y,unknown,no,no
6726,51,unemployed,married,basic_9y,unknown,yes,no
6727,46,blue-collar,married,basic_9y,unknown,no,no
6728,58,retired,divorced,university_degree,no,yes,no
6729,32,admin,divorced,university_degree,no,no,no
6730,53,technician,married,professional_course,unknown,yes,yes
6731,41,blue-collar,divorced,basic_6y,no,no,no
6732,46,retired,married,basic_4y,no,no,no
6733,30,services,married,,no,yes,yes
6734,32,admin,married,university_degree,no,yes,yes
6735,31,services,single,high_school,unknown,no,no
6736,46,blue-collar,married,basic_9y,unknown,no,no
6737,46,blue-collar,married,basic_9y,unknown,yes,no
6738,54,retired,married,basic_4y,unknown,no,no
6739,31,unemployed,single,professional_course,no,no,no
6740,34,blue-collar,married,basic_4y,no,no,no
6741,41,admin,married,high_school,no,no,no
6742,33,admin,married,high_school,no,no,no
6743,36,technician,married,professional_course,unknown,yes,no
6744,37,blue-collar,single,basic_9y,no,no,yes
6745,38,blue-collar,married,high_school,no,no,no
6746,25,self-employed,single,university_degree,no,no,no
6747,56,services,married,basic_9y,unknown,no,no
6748,29,services,married,basic_9y,no,yes,no
6749,28,services,single,high_school,no,no,no
6750,35,entrepreneur,married,high_school,no,no,no
6751,46,housemaid,married,basic_4y,no,yes,no
6752,36,blue-collar,married,basic_9y,no,no,no
6753,49,blue-collar,married,basic_9y,unknown,no,yes
6754,28,management,single,university_degree,no,no,no
6755,32,technician,single,university_degree,no,no,no
6756,40,services,married,high_school,unknown,yes,no
6757,41,services,married,basic_9y,no,yes,no
6758,41,blue-collar,married,basic_6y,no,yes,no
6759,34,blue-collar,divorced,professional_course,no,unknown,unknown
6760,34,services,single,basic_9y,unknown,yes,yes
6761,42,admin,married,university_degree,unknown,no,no
6762,30,management,single,university_degree,no,no,yes
6763,38,housemaid,married,basic_6y,unknown,yes,yes
6764,53,entrepreneur,married,,no,yes,no
6765,28,blue-collar,single,basic_9y,no,no,no
6766,35,blue-collar,married,basic_9y,no,no,no
6767,34,technician,married,university_degree,no,no,no
6768,59,entrepreneur,married,basic_9y,no,yes,yes
6769,42,blue-collar,married,basic_4y,unknown,no,no
6770,32,blue-collar,married,high_school,unknown,yes,no
6771,28,admin,single,,no,yes,no
6772,31,services,married,high_school,unknown,no,no
6773,55,technician,married,professional_course,unknown,no,no
6774,36,blue-collar,married,basic_4y,unknown,no,yes
6775,37,admin,single,university_degree,no,no,no
6776,42,technician,single,basic_9y,no,yes,no
6777,43,technician,single,professional_course,no,yes,no
6778,36,technician,married,university_degree,no,no,no
6779,25,blue-collar,married,basic_9y,no,yes,no
6780,49,housemaid,married,basic_4y,unknown,yes,no
6781,51,blue-collar,divorced,basic_4y,no,yes,no
6782,49,blue-collar,married,basic_4y,unknown,yes,no
6783,37,entrepreneur,married,high_school,no,yes,no
6784,35,admin,single,university_degree,no,no,yes
6785,28,admin,single,university_degree,unknown,no,yes
6786,39,blue-collar,married,basic_4y,unknown,yes,no
6787,21,technician,single,professional_course,no,no,yes
6788,39,entrepreneur,divorced,high_school,no,no,no
6789,46,blue-collar,single,professional_course,no,no,no
6790,57,retired,married,basic_9y,unknown,no,no
6791,27,admin,married,high_school,unknown,no,no
6792,52,admin,married,high_school,no,no,no
6793,42,technician,married,professional_course,no,yes,no
6794,30,management,single,university_degree,no,no,yes
6795,52,blue-collar,married,basic_9y,no,yes,no
6796,36,admin,married,high_school,no,yes,no
6797,25,technician,single,professional_course,no,yes,no
6798,56,blue-collar,married,basic_4y,unknown,no,no
6799,47,blue-collar,divorced,basic_9y,unknown,yes,no
6800,25,blue-collar,married,basic_9y,no,no,no
6801,33,admin,divorced,university_degree,no,no,no
6802,53,management,married,basic_4y,unknown,no,no
6803,33,admin,divorced,university_degree,no,yes,no
6804,43,entrepreneur,married,university_degree,no,no,yes
6805,42,blue-collar,married,basic_4y,unknown,yes,no
6806,32,blue-collar,married,basic_6y,no,yes,no
6807,51,admin,divorced,university_degree,no,unknown,unknown
6808,25,blue-collar,single,high_school,no,no,no
6809,40,blue-collar,married,basic_4y,no,yes,no
6810,30,blue-collar,divorced,basic_9y,no,yes,no
6811,45,blue-collar,married,basic_6y,unknown,yes,no
6812,34,admin,married,university_degree,no,no,yes
6813,36,entrepreneur,married,university_degree,no,no,no
6814,34,technician,married,basic_9y,no,no,no
6815,35,services,divorced,high_school,no,no,yes
6816,44,blue-collar,single,basic_4y,unknown,no,no
6817,37,unemployed,married,university_degree,unknown,unknown,unknown
6818,31,services,married,university_degree,unknown,yes,no
6819,29,blue-collar,married,basic_9y,no,no,no
6820,39,management,married,university_degree,no,yes,no
6821,41,blue-collar,married,basic_4y,no,no,yes
6822,25,services,married,high_school,no,yes,no
6823,50,management,married,university_degree,no,no,yes
6824,26,blue-collar,single,basic_9y,unknown,yes,no
6825,37,services,married,high_school,no,no,no
6826,43,blue-collar,single,,unknown,no,no
6827,28,self-employed,married,professional_course,no,yes,yes
6828,31,blue-collar,married,basic_9y,no,no,yes
6829,50,admin,married,high_school,no,no,no
6830,46,admin,divorced,high_school,no,yes,yes
6831,50,technician,married,professional_course,unknown,no,no
6832,52,blue-collar,married,professional_course,no,no,yes
6833,35,blue-collar,single,professional_course,no,no,yes
6834,60,retired,divorced,basic_4y,unknown,no,no
6835,42,blue-collar,married,basic_9y,no,no,no
6836,25,self-employed,single,university_degree,no,yes,no
6837,35,technician,single,professional_course,unknown,no,no
6838,37,management,single,high_school,no,no,no
6839,41,management,married,university_degree,no,yes,no
6840,35,blue-collar,married,basic_6y,no,no,no
6841,49,services,married,high_school,no,no,no
6842,36,blue-collar,married,basic_9y,no,no,no
6843,45,services,single,professional_course,unknown,no,no
6844,48,entrepreneur,married,high_school,unknown,yes,no
6845,28,self-employed,single,university_degree,no,no,no
6846,42,management,married,university_degree,no,no,no
6847,42,blue-collar,married,basic_4y,no,no,no
6848,33,admin,married,university_degree,no,no,no
6849,29,blue-collar,married,professional_course,no,no,no
6850,27,technician,married,professional_course,no,no,no
6851,35,technician,married,professional_course,no,yes,no
6852,40,blue-collar,married,high_school,no,no,no
6853,33,blue-collar,divorced,basic_9y,no,yes,no
6854,41,self-employed,single,university_degree,no,yes,yes
6855,39,admin,married,university_degree,no,unknown,unknown
6856,43,admin,single,high_school,no,no,yes
6857,31,admin,single,university_degree,no,no,no
6858,35,blue-collar,married,high_school,no,no,no
6859,40,technician,married,professional_course,no,no,yes
6860,59,retired,married,professional_course,no,no,no
6861,27,admin,single,university_degree,no,no,no
6862,47,admin,married,high_school,no,yes,no
6863,45,management,married,university_degree,no,no,no
6864,51,blue-collar,married,basic_9y,unknown,no,yes
6865,60,retired,divorced,high_school,unknown,yes,no
6866,45,admin,married,basic_6y,unknown,yes,no
6867,52,entrepreneur,married,basic_9y,unknown,no,no
6868,27,admin,married,university_degree,no,no,no
6869,44,technician,single,professional_course,no,yes,no
6870,40,blue-collar,married,basic_9y,no,yes,no
6871,32,unemployed,single,high_school,no,no,no
6872,24,blue-collar,single,basic_9y,unknown,no,no
6873,46,admin,single,high_school,unknown,yes,no
6874,34,admin,single,high_school,no,no,no
6875,44,services,married,high_school,no,yes,yes
6876,29,blue-collar,married,basic_4y,unknown,yes,yes
6877,31,services,married,high_school,no,no,no
6878,38,unknown,divorced,high_school,unknown,yes,no
6879,26,admin,single,high_school,no,no,no
6880,40,admin,married,basic_9y,no,no,yes
6881,47,blue-collar,divorced,basic_9y,unknown,yes,no
6882,43,unemployed,married,high_school,no,yes,no
6883,34,blue-collar,married,basic_6y,no,no,no
6884,25,blue-collar,single,basic_6y,unknown,no,yes
6885,36,technician,married,university_degree,no,no,no
6886,34,blue-collar,married,basic_9y,no,yes,yes
6887,29,admin,married,basic_6y,no,no,yes
6888,33,technician,married,university_degree,unknown,no,yes
6889,22,blue-collar,single,basic_9y,no,yes,no
6890,48,entrepreneur,divorced,basic_4y,no,no,no
6891,29,admin,single,basic_9y,unknown,no,no
6892,46,retired,married,university_degree,no,no,no
6893,34,blue-collar,married,basic_9y,no,no,yes
6894,56,management,married,university_degree,no,no,no
6895,39,blue-collar,married,basic_4y,unknown,no,no
6896,36,blue-collar,single,basic_9y,no,no,no
6897,56,management,divorced,university_degree,no,yes,no
6898,36,blue-collar,married,basic_9y,no,no,no
6899,36,admin,single,high_school,no,yes,no
6900,52,retired,married,basic_4y,no,yes,no
6901,39,admin,married,university_degree,no,yes,no
6902,35,student,single,university_degree,unknown,no,no
6903,54,services,single,high_school,unknown,no,no
6904,59,admin,married,university_degree,no,no,yes
6905,33,admin,married,professional_course,no,yes,yes
6906,42,admin,single,basic_9y,unknown,no,no
6907,54,management,married,university_degree,no,yes,no
6908,52,self-employed,single,basic_4y,unknown,yes,no
6909,35,services,married,high_school,unknown,no,no
6910,55,admin,married,basic_9y,unknown,no,yes
6911,35,housemaid,married,basic_4y,unknown,no,yes
6912,47,blue-collar,single,basic_9y,no,yes,no
6913,26,blue-collar,married,basic_9y,unknown,yes,no
6914,36,blue-collar,single,basic_6y,unknown,yes,no
6915,40,technician,married,basic_9y,no,yes,no
6916,34,student,single,basic_4y,unknown,no,no
6917,40,admin,single,,unknown,yes,no
6918,42,blue-collar,married,basic_6y,unknown,no,no
6919,51,technician,married,,no,yes,no
6920,39,blue-collar,married,basic_6y,no,no,no
6921,58,blue-collar,married,basic_4y,no,yes,no
6922,37,services,married,high_school,unknown,no,yes
6923,33,services,married,basic_6y,no,yes,no
6924,30,self-employed,single,university_degree,no,yes,no
6925,30,admin,single,high_school,no,no,no
6926,31,blue-collar,married,basic_9y,unknown,yes,no
6927,47,self-employed,married,university_degree,no,yes,no
6928,45,blue-collar,married,illiterate,unknown,no,no
6929,46,admin,married,professional_course,no,yes,no
6930,45,blue-collar,married,basic_9y,no,no,no
6931,35,admin,married,high_school,no,yes,no
6932,33,admin,married,high_school,no,yes,no
6933,43,unemployed,married,high_school,no,yes,no
6934,56,admin,divorced,,unknown,yes,no
6935,26,technician,single,professional_course,no,no,no
6936,29,blue-collar,single,professional_course,no,yes,no
6937,40,technician,married,basic_9y,unknown,yes,no
6938,41,blue-collar,married,basic_6y,no,yes,no
6939,35,admin,married,university_degree,no,yes,no
6940,33,blue-collar,married,basic_9y,unknown,no,no
6941,53,entrepreneur,divorced,,no,no,no
6942,34,services,married,high_school,no,no,no
6943,47,blue-collar,married,,unknown,no,no
6944,40,technician,married,basic_9y,no,yes,no
6945,52,blue-collar,single,basic_9y,unknown,yes,no
6946,29,admin,married,university_degree,no,yes,no
6947,42,technician,single,high_school,no,no,no
6948,37,admin,married,high_school,unknown,yes,no
6949,39,blue-collar,married,basic_4y,unknown,no,no
6950,31,blue-collar,single,high_school,no,unknown,unknown
6951,28,entrepreneur,married,basic_9y,unknown,no,no
6952,35,services,married,high_school,no,no,no
6953,37,technician,married,professional_course,no,no,yes
6954,34,self-employed,married,professional_course,no,no,no
6955,37,blue-collar,married,basic_9y,no,no,no
6956,42,blue-collar,divorced,basic_9y,no,no,no
6957,42,admin,married,basic_4y,no,no,no
6958,58,technician,married,professional_course,no,yes,no
6959,28,entrepreneur,married,basic_9y,unknown,yes,no
6960,38,services,single,basic_9y,no,yes,no
6961,38,admin,married,university_degree,no,yes,no
6962,34,management,single,basic_9y,no,yes,no
6963,45,admin,married,basic_9y,no,yes,yes
6964,53,admin,married,university_degree,no,yes,no
6965,50,self-employed,married,basic_4y,unknown,no,no
6966,30,blue-collar,single,basic_9y,unknown,yes,no
6967,38,technician,divorced,professional_course,no,yes,no
6968,36,technician,married,professional_course,no,yes,no
6969,46,blue-collar,married,basic_4y,unknown,yes,no
6970,42,admin,divorced,high_school,no,yes,no
6971,32,management,married,university_degree,no,yes,no
6972,38,technician,married,basic_9y,no,no,no
6973,51,technician,married,professional_course,unknown,no,no
6974,45,services,divorced,high_school,unknown,yes,no
6975,44,blue-collar,single,basic_9y,no,no,no
6976,48,technician,married,high_school,no,no,no
6977,46,admin,divorced,basic_9y,no,yes,no
6978,43,unemployed,married,university_degree,unknown,no,no
6979,49,blue-collar,married,basic_4y,unknown,yes,no
6980,44,admin,married,university_degree,no,yes,no
6981,56,retired,divorced,basic_4y,unknown,yes,no
6982,34,services,married,high_school,no,no,no
6983,59,entrepreneur,married,university_degree,unknown,no,no
6984,53,unemployed,married,,unknown,no,no
6985,33,services,married,university_degree,no,unknown,unknown
6986,57,blue-collar,married,basic_4y,unknown,no,no
6987,40,technician,married,basic_9y,no,yes,no
6988,43,entrepreneur,married,basic_4y,no,yes,no
6989,45,unknown,married,,no,no,no
6990,41,admin,married,high_school,no,yes,no
6991,25,student,single,high_school,no,unknown,unknown
6992,33,management,single,university_degree,no,unknown,unknown
6993,56,blue-collar,married,basic_4y,unknown,unknown,unknown
6994,37,admin,married,high_school,no,no,yes
6995,48,admin,divorced,high_school,no,no,no
6996,32,services,married,professional_course,no,no,no
6997,47,admin,single,university_degree,unknown,yes,yes
6998,45,blue-collar,married,basic_9y,no,yes,no
6999,43,management,single,basic_4y,no,yes,no
7000,32,technician,married,professional_course,no,no,no
7001,48,blue-collar,married,basic_6y,no,yes,no
7002,46,blue-collar,married,basic_9y,unknown,no,no
7003,50,services,married,high_school,no,no,no
7004,41,admin,married,high_school,no,no,no
7005,42,admin,single,,no,no,no
7006,42,technician,married,university_degree,unknown,no,no
7007,31,admin,married,university_degree,no,yes,no
7008,40,technician,married,professional_course,unknown,yes,no
7009,37,unemployed,married,professional_course,unknown,no,no
7010,37,technician,single,professional_course,no,no,no
7011,45,unknown,married,,unknown,yes,no
7012,32,management,single,university_degree,no,unknown,unknown
7013,41,entrepreneur,married,university_degree,unknown,yes,no
7014,57,technician,married,basic_4y,unknown,no,no
7015,33,management,married,university_degree,no,yes,no
7016,36,admin,married,university_degree,no,yes,no
7017,39,technician,married,professional_course,no,no,no
7018,40,self-employed,married,high_school,unknown,yes,no
7019,31,admin,married,university_degree,no,yes,no
7020,34,management,married,university_degree,no,no,no
7021,42,management,married,university_degree,unknown,no,no
7022,59,retired,divorced,basic_4y,unknown,yes,no
7023,52,admin,married,basic_6y,no,yes,no
7024,30,services,divorced,basic_9y,no,yes,no
7025,52,technician,single,professional_course,unknown,no,no
7026,30,services,divorced,basic_9y,no,no,no
7027,38,services,married,high_school,unknown,no,yes
7028,44,blue-collar,single,basic_4y,no,yes,no
7029,47,admin,married,basic_9y,no,yes,no
7030,38,blue-collar,married,basic_6y,unknown,yes,no
7031,41,blue-collar,married,basic_4y,no,no,no
7032,48,entrepreneur,married,university_degree,no,yes,no
7033,31,admin,single,high_school,no,yes,no
7034,38,self-employed,married,,no,yes,no
7035,52,services,divorced,high_school,no,yes,no
7036,43,blue-collar,married,basic_4y,no,yes,no
7037,46,technician,married,professional_course,no,no,no
7038,34,unemployed,single,university_degree,no,yes,yes
7039,35,services,married,basic_6y,no,yes,no
7040,29,entrepreneur,divorced,basic_9y,no,yes,no
7041,55,admin,divorced,university_degree,no,no,no
7042,24,student,married,university_degree,no,no,no
7043,29,services,single,high_school,no,no,no
7044,39,entrepreneur,single,basic_6y,no,yes,no
7045,30,technician,married,high_school,no,yes,no
7046,30,technician,single,professional_course,no,yes,no
7047,33,blue-collar,married,basic_9y,no,no,no
7048,38,services,married,high_school,no,no,yes
7049,41,blue-collar,married,basic_9y,no,no,no
7050,41,blue-collar,married,basic_4y,unknown,no,no
7051,40,management,single,university_degree,no,no,no
7052,38,services,married,high_school,no,yes,no
7053,28,technician,divorced,professional_course,unknown,yes,no
7054,33,self-employed,single,university_degree,no,no,no
7055,31,admin,divorced,high_school,no,no,no
7056,41,services,married,university_degree,no,no,no
7057,47,blue-collar,married,basic_4y,unknown,no,no
7058,38,technician,married,professional_course,no,yes,no
7059,57,services,married,high_school,unknown,yes,no
7060,56,admin,divorced,basic_9y,unknown,yes,no
7061,28,technician,divorced,high_school,no,yes,no
7062,28,blue-collar,married,basic_9y,unknown,no,no
7063,51,self-employed,married,basic_9y,no,yes,no
7064,41,management,married,,no,yes,no
7065,36,blue-collar,married,,unknown,no,no
7066,41,services,married,university_degree,no,yes,yes
7067,56,admin,married,high_school,no,no,no
7068,41,blue-collar,married,basic_9y,unknown,no,no
7069,26,admin,married,high_school,no,yes,no
7070,44,services,divorced,high_school,no,no,no
7071,42,services,married,basic_6y,no,yes,no
7072,35,technician,single,university_degree,no,no,no
7073,28,self-employed,single,university_degree,no,yes,no
7074,30,technician,single,university_degree,no,no,no
7075,45,technician,divorced,professional_course,no,no,no
7076,47,admin,single,,unknown,no,no
7077,33,management,married,high_school,unknown,yes,no
7078,36,services,married,high_school,unknown,yes,no
7079,41,blue-collar,married,basic_9y,no,no,no
7080,47,admin,married,basic_4y,no,no,no
7081,36,blue-collar,single,high_school,no,no,no
7082,52,services,married,basic_9y,unknown,no,no
7083,28,blue-collar,married,basic_4y,no,no,no
7084,26,self-employed,married,university_degree,no,no,no
7085,36,services,married,high_school,no,no,no
7086,38,management,married,high_school,unknown,no,no
7087,36,admin,married,high_school,no,no,no
7088,39,blue-collar,married,high_school,unknown,yes,no
7089,35,blue-collar,married,basic_9y,unknown,yes,no
7090,37,unemployed,married,university_degree,unknown,no,no
7091,38,admin,married,high_school,no,yes,no
7092,45,technician,married,professional_course,no,no,no
7093,33,unemployed,divorced,basic_9y,no,yes,no
7094,34,management,married,university_degree,no,no,no
7095,31,blue-collar,married,basic_9y,no,no,no
7096,46,blue-collar,married,basic_4y,unknown,unknown,unknown
7097,58,blue-collar,married,basic_4y,unknown,yes,no
7098,40,services,married,high_school,unknown,no,no
7099,46,self-employed,divorced,university_degree,no,yes,yes
7100,39,admin,single,university_degree,no,no,yes
7101,40,technician,married,basic_4y,no,yes,no
7102,34,services,divorced,professional_course,unknown,yes,no
7103,36,unemployed,divorced,professional_course,no,yes,no
7104,30,admin,married,university_degree,no,no,no
7105,50,services,divorced,basic_4y,unknown,yes,yes
7106,42,admin,married,university_degree,no,no,no
7107,45,blue-collar,married,basic_6y,unknown,yes,no
7108,59,entrepreneur,married,basic_9y,no,no,no
7109,59,blue-collar,married,basic_9y,unknown,yes,no
7110,51,admin,married,high_school,no,yes,no
7111,49,technician,married,professional_course,no,no,no
7112,44,blue-collar,married,basic_9y,no,yes,no
7113,30,blue-collar,single,basic_4y,unknown,yes,yes
7114,39,services,married,high_school,no,no,no
7115,35,technician,single,basic_6y,no,unknown,unknown
7116,35,technician,married,university_degree,unknown,no,no
7117,59,admin,married,university_degree,no,yes,yes
7118,59,entrepreneur,married,university_degree,unknown,no,no
7119,43,blue-collar,married,basic_9y,no,no,no
7120,29,services,single,high_school,no,no,no
7121,56,blue-collar,married,basic_4y,no,yes,no
7122,41,housemaid,married,university_degree,no,no,no
7123,47,services,divorced,high_school,no,yes,no
7124,49,services,married,high_school,unknown,yes,no
7125,43,admin,married,basic_9y,no,no,no
7126,34,services,married,high_school,unknown,no,no
7127,31,housemaid,married,high_school,no,no,no
7128,60,admin,single,high_school,no,yes,no
7129,29,self-employed,married,university_degree,no,no,no
7130,34,management,married,professional_course,unknown,no,no
7131,54,retired,married,basic_9y,no,yes,no
7132,31,admin,married,basic_9y,no,no,no
7133,45,blue-collar,married,basic_9y,unknown,no,no
7134,51,services,single,high_school,unknown,yes,no
7135,40,admin,single,high_school,no,yes,no
7136,38,blue-collar,divorced,,no,no,no
7137,37,admin,married,university_degree,no,yes,no
7138,37,technician,single,high_school,unknown,yes,no
7139,36,admin,married,university_degree,no,no,yes
7140,35,entrepreneur,married,university_degree,unknown,yes,yes
7141,54,services,married,,no,no,no
7142,34,services,divorced,basic_9y,no,yes,yes
7143,49,blue-collar,married,,unknown,no,no
7144,42,self-employed,married,basic_6y,no,yes,yes
7145,32,unknown,unknown,university_degree,no,yes,yes
7146,55,technician,married,professional_course,no,yes,no
7147,40,technician,single,university_degree,unknown,no,yes
7148,50,entrepreneur,married,basic_9y,no,no,no
7149,31,blue-collar,married,basic_9y,unknown,no,no
7150,50,technician,divorced,basic_9y,no,no,yes
7151,51,management,married,university_degree,no,yes,no
7152,46,management,married,university_degree,unknown,yes,no
7153,44,blue-collar,married,basic_4y,no,yes,no
7154,57,management,divorced,university_degree,no,yes,no
7155,30,blue-collar,married,university_degree,no,no,no
7156,54,technician,married,university_degree,unknown,no,no
7157,54,retired,divorced,basic_4y,no,yes,no
7158,24,services,single,high_school,no,yes,no
7159,45,self-employed,divorced,university_degree,no,yes,no
7160,49,housemaid,married,professional_course,no,no,no
7161,39,blue-collar,divorced,,unknown,no,yes
7162,36,admin,single,university_degree,no,no,no
7163,31,admin,married,high_school,unknown,yes,no
7164,36,management,married,university_degree,unknown,yes,no
7165,51,services,married,basic_6y,no,yes,no
7166,48,housemaid,divorced,basic_4y,unknown,yes,yes
7167,51,blue-collar,married,basic_6y,unknown,yes,yes
7168,41,technician,married,professional_course,unknown,yes,no
7169,37,blue-collar,single,professional_course,no,yes,no
7170,46,blue-collar,married,basic_4y,unknown,yes,no
7171,54,retired,married,basic_4y,no,no,no
7172,49,admin,single,,unknown,yes,no
7173,41,blue-collar,married,basic_9y,unknown,unknown,unknown
7174,52,self-employed,single,university_degree,unknown,yes,no
