"order_number","date","warehouse","client_type","product_line","quantity","unit_price","total","payment","payment_fee"
"N260","2021-08-09T00:00:00.000Z","North","Retail","Suspension & traction",5,29.72,148.6,"Credit card",0.03
"N261","2021-08-09T00:00:00.000Z","North","Wholesale","Electrical system",28,28.16,788.34,"Transfer",0.01
"N262","2021-08-09T00:00:00.000Z","North","Retail","Electrical system",2,26.63,53.26,"Credit card",0.03
"N263","2021-08-09T00:00:00.000Z","North","Retail","Breaking system",4,24.11,96.45,"Credit card",0.03
"N264","2021-08-10T00:00:00.000Z","North","Wholesale","Frame & body",28,49.73,1392.53,"Transfer",0.01
"N265","2021-08-10T00:00:00.000Z","North","Retail","Electrical system",4,24.61,98.45,"Credit card",0.03
"N266","2021-08-11T00:00:00.000Z","North","Retail","Breaking system",5,17.38,86.89,"Credit card",0.03
"N267","2021-08-11T00:00:00.000Z","North","Retail","Miscellaneous",7,20.96,146.76,"Credit card",0.03
"N268","2021-08-11T00:00:00.000Z","North","Retail","Electrical system",10,19.31,193.12,"Credit card",0.03
"N269","2021-08-12T00:00:00.000Z","North","Wholesale","Breaking system",8,12.25,97.97,"Transfer",0.01
"N270","2021-08-12T00:00:00.000Z","North","Wholesale","Frame & body",36,49.58,1784.88,"Transfer",0.01
"N271","2021-08-12T00:00:00.000Z","North","Retail","Electrical system",7,33.26,232.81,"Credit card",0.03
"N272","2021-08-12T00:00:00.000Z","North","Retail","Electrical system",3,19.28,57.84,"Credit card",0.03
"N273","2021-08-13T00:00:00.000Z","North","Retail","Electrical system",9,20.82,187.34,"Cash",0
"N274","2021-08-13T00:00:00.000Z","North","Retail","Engine",2,66.1,132.19,"Credit card",0.03
"N275","2021-08-13T00:00:00.000Z","North","Wholesale","Breaking system",40,11.61,464.4,"Transfer",0.01
"N276","2021-08-14T00:00:00.000Z","North","Retail","Frame & body",8,45.42,363.33,"Credit card",0.03
"N277","2021-08-14T00:00:00.000Z","North","Retail","Miscellaneous",5,23.94,119.68,"Cash",0
"N278","2021-08-14T00:00:00.000Z","North","Retail","Suspension & traction",4,28.96,115.83,"Credit card",0.03
"N279","2021-08-15T00:00:00.000Z","North","Retail","Suspension & traction",4,37.91,151.65,"Credit card",0.03
"N280","2021-08-15T00:00:00.000Z","North","Wholesale","Frame & body",40,46.15,1846.13,"Transfer",0.01
"N281","2021-08-16T00:00:00.000Z","North","Retail","Frame & body",5,38.88,194.38,"Credit card",0.03
"N282","2021-08-16T00:00:00.000Z","North","Retail","Electrical system",4,25.2,100.79,"Credit card",0.03
"N283","2021-08-17T00:00:00.000Z","North","Wholesale","Miscellaneous",8,27.22,217.79,"Transfer",0.01
"N284","2021-08-17T00:00:00.000Z","North","Retail","Breaking system",9,21.07,189.6,"Credit card",0.03
"N285","2021-08-17T00:00:00.000Z","North","Retail","Breaking system",1,10.92,10.92,"Credit card",0.03
"N286","2021-08-17T00:00:00.000Z","North","Retail","Suspension & traction",4,28.88,115.53,"Credit card",0.03
"N287","2021-08-17T00:00:00.000Z","North","Retail","Electrical system",9,29.18,262.59,"Credit card",0.03
"N288","2021-08-17T00:00:00.000Z","North","Retail","Suspension & traction",5,30.45,152.26,"Credit card",0.03
"N289","2021-08-18T00:00:00.000Z","North","Retail","Frame & body",9,39.79,358.08,"Credit card",0.03
"N290","2021-08-18T00:00:00.000Z","North","Wholesale","Electrical system",24,29.08,698.04,"Transfer",0.01
"N291","2021-08-18T00:00:00.000Z","North","Wholesale","Breaking system",4,23.6,94.41,"Transfer",0.01
"N292","2021-08-18T00:00:00.000Z","North","Retail","Miscellaneous",2,20.54,41.08,"Credit card",0.03
"N293","2021-08-18T00:00:00.000Z","North","Retail","Suspension & traction",9,40.66,365.94,"Cash",0
"N294","2021-08-18T00:00:00.000Z","North","Retail","Frame & body",10,40.67,406.7,"Cash",0
"N295","2021-08-19T00:00:00.000Z","North","Wholesale","Suspension & traction",36,30.64,1103.04,"Transfer",0.01
"N296","2021-08-19T00:00:00.000Z","North","Retail","Suspension & traction",8,40,320.03,"Credit card",0.03
"N297","2021-08-19T00:00:00.000Z","North","Retail","Suspension & traction",3,29.41,88.24,"Credit card",0.03
"N298","2021-08-19T00:00:00.000Z","North","Retail","Electrical system",5,21.41,107.04,"Credit card",0.03
"N299","2021-08-20T00:00:00.000Z","North","Retail","Frame & body",6,43.69,262.13,"Credit card",0.03
"N300","2021-08-20T00:00:00.000Z","North","Retail","Breaking system",5,17.76,88.8,"Credit card",0.03
"N301","2021-08-20T00:00:00.000Z","North","Retail","Suspension & traction",8,33.76,270.12,"Cash",0
"N302","2021-08-20T00:00:00.000Z","North","Retail","Suspension & traction",1,28.05,28.05,"Credit card",0.03
"N303","2021-08-20T00:00:00.000Z","North","Retail","Electrical system",1,32.52,32.52,"Credit card",0.03
"N304","2021-08-20T00:00:00.000Z","North","Retail","Suspension & traction",8,33.49,267.91,"Credit card",0.03
"N305","2021-08-20T00:00:00.000Z","North","Retail","Frame & body",5,47.65,238.26,"Credit card",0.03
"N306","2021-08-21T00:00:00.000Z","North","Retail","Breaking system",3,17.12,51.38,"Credit card",0.03
"N307","2021-08-21T00:00:00.000Z","North","Retail","Suspension & traction",1,29.22,29.22,"Cash",0
"N308","2021-08-21T00:00:00.000Z","North","Retail","Electrical system",10,28.91,289.12,"Credit card",0.03
"N309","2021-08-21T00:00:00.000Z","North","Retail","Breaking system",4,14.52,58.1,"Credit card",0.03
"N310","2021-08-21T00:00:00.000Z","North","Retail","Miscellaneous",6,25.65,153.88,"Credit card",0.03
"N311","2021-08-21T00:00:00.000Z","North","Wholesale","Frame & body",40,35.92,1436.67,"Transfer",0.01
"N312","2021-08-22T00:00:00.000Z","North","Retail","Suspension & traction",4,35.99,143.96,"Credit card",0.03
"N313","2021-08-22T00:00:00.000Z","North","Retail","Suspension & traction",2,36.72,73.44,"Credit card",0.03
"N314","2021-08-23T00:00:00.000Z","North","Retail","Electrical system",7,19.89,139.21,"Credit card",0.03
"N315","2021-08-23T00:00:00.000Z","North","Retail","Electrical system",3,19.3,57.9,"Credit card",0.03
"N316","2021-08-23T00:00:00.000Z","North","Wholesale","Electrical system",16,22.73,363.63,"Transfer",0.01
"N317","2021-08-23T00:00:00.000Z","North","Retail","Breaking system",4,17.57,70.26,"Cash",0
"N318","2021-08-24T00:00:00.000Z","North","Wholesale","Electrical system",20,21.29,425.77,"Transfer",0.01
"N319","2021-08-24T00:00:00.000Z","North","Wholesale","Electrical system",20,18.45,368.97,"Transfer",0.01
"N320","2021-08-24T00:00:00.000Z","North","Wholesale","Breaking system",12,15.21,182.56,"Transfer",0.01
"N321","2021-08-24T00:00:00.000Z","North","Wholesale","Suspension & traction",28,37.03,1036.93,"Transfer",0.01
"N322","2021-08-24T00:00:00.000Z","North","Retail","Electrical system",4,27.38,109.51,"Credit card",0.03
"N323","2021-08-24T00:00:00.000Z","North","Retail","Breaking system",1,17.06,17.06,"Credit card",0.03
"N324","2021-08-25T00:00:00.000Z","North","Retail","Breaking system",3,17.06,51.17,"Credit card",0.03
"N325","2021-08-25T00:00:00.000Z","North","Wholesale","Suspension & traction",8,32.39,259.12,"Transfer",0.01
"N326","2021-08-25T00:00:00.000Z","North","Wholesale","Miscellaneous",28,21.56,603.77,"Transfer",0.01
"N327","2021-08-25T00:00:00.000Z","North","Retail","Breaking system",2,21.59,43.18,"Credit card",0.03
"N328","2021-08-25T00:00:00.000Z","North","Retail","Engine",8,55.41,443.28,"Cash",0
"N329","2021-08-26T00:00:00.000Z","North","Retail","Miscellaneous",6,23.04,138.26,"Cash",0
"N330","2021-08-26T00:00:00.000Z","North","Retail","Breaking system",7,20.24,141.7,"Cash",0
"N331","2021-08-26T00:00:00.000Z","North","Retail","Suspension & traction",7,29.34,205.36,"Credit card",0.03
"N332","2021-08-26T00:00:00.000Z","North","Retail","Miscellaneous",3,25.28,75.84,"Cash",0
"N333","2021-08-26T00:00:00.000Z","North","Wholesale","Breaking system",20,16.89,337.8,"Transfer",0.01
"N334","2021-08-26T00:00:00.000Z","North","Retail","Electrical system",7,18.35,128.43,"Credit card",0.03
"N335","2021-08-27T00:00:00.000Z","North","Wholesale","Suspension & traction",12,37.07,444.84,"Transfer",0.01
"N336","2021-08-27T00:00:00.000Z","North","Retail","Electrical system",10,28.56,285.63,"Credit card",0.03
"N337","2021-08-28T00:00:00.000Z","North","Retail","Frame & body",7,40.04,280.27,"Credit card",0.03
"N338","2021-08-28T00:00:00.000Z","North","Retail","Suspension & traction",6,30.74,184.42,"Credit card",0.03
"N339","2021-08-28T00:00:00.000Z","North","Retail","Frame & body",5,48.25,241.23,"Cash",0
"N340","2021-08-28T00:00:00.000Z","North","Wholesale","Electrical system",20,27.41,548.13,"Transfer",0.01
"C1","2021-06-01T00:00:00.000Z","Central","Retail","Miscellaneous",8,16.85,134.83,"Credit card",0.03
"C2","2021-06-01T00:00:00.000Z","Central","Retail","Engine",2,60.48,120.96,"Credit card",0.03
"C3","2021-06-01T00:00:00.000Z","Central","Retail","Breaking system",10,22.44,224.38,"Credit card",0.03
"C4","2021-06-01T00:00:00.000Z","Central","Retail","Frame & body",6,38.2,229.22,"Credit card",0.03
"C5","2021-06-01T00:00:00.000Z","Central","Retail","Suspension & traction",6,37.45,224.71,"Credit card",0.03
"C6","2021-06-02T00:00:00.000Z","Central","Retail","Suspension & traction",6,28.67,172.01,"Credit card",0.03
"C7","2021-06-02T00:00:00.000Z","Central","Retail","Breaking system",9,15.1,135.92,"Credit card",0.03
"C8","2021-06-02T00:00:00.000Z","Central","Retail","Electrical system",10,22.37,223.68,"Credit card",0.03
"C9","2021-06-02T00:00:00.000Z","Central","Retail","Frame & body",6,40.77,244.63,"Credit card",0.03
"C10","2021-06-03T00:00:00.000Z","Central","Retail","Suspension & traction",6,35.52,213.15,"Credit card",0.03
"C11","2021-06-03T00:00:00.000Z","Central","Retail","Electrical system",1,29.31,29.31,"Cash",0
"C12","2021-06-03T00:00:00.000Z","Central","Retail","Frame & body",1,48.9,48.9,"Credit card",0.03
"C13","2021-06-03T00:00:00.000Z","Central","Retail","Electrical system",8,27,216,"Credit card",0.03
"C14","2021-06-04T00:00:00.000Z","Central","Retail","Breaking system",4,19.78,79.14,"Credit card",0.03
"C15","2021-06-04T00:00:00.000Z","Central","Retail","Frame & body",3,41.07,123.21,"Credit card",0.03
"C16","2021-06-04T00:00:00.000Z","Central","Retail","Suspension & traction",1,37.03,37.03,"Credit card",0.03
"C17","2021-06-05T00:00:00.000Z","Central","Retail","Breaking system",3,21.01,63.03,"Credit card",0.03
"C18","2021-06-05T00:00:00.000Z","Central","Retail","Miscellaneous",1,25.2,25.2,"Credit card",0.03
"C19","2021-06-05T00:00:00.000Z","Central","Retail","Breaking system",1,20.66,20.66,"Credit card",0.03
"C20","2021-06-05T00:00:00.000Z","Central","Wholesale","Breaking system",4,13.65,54.6,"Transfer",0.01
"C21","2021-06-05T00:00:00.000Z","Central","Retail","Suspension & traction",9,30.9,278.07,"Credit card",0.03
"C22","2021-06-06T00:00:00.000Z","Central","Retail","Suspension & traction",4,35.36,141.46,"Credit card",0.03
"C23","2021-06-06T00:00:00.000Z","Central","Wholesale","Engine",36,63.41,2282.82,"Transfer",0.01
"C24","2021-06-06T00:00:00.000Z","Central","Retail","Breaking system",4,21.95,87.79,"Credit card",0.03
"C25","2021-06-07T00:00:00.000Z","Central","Wholesale","Frame & body",4,44.69,178.75,"Transfer",0.01
"C26","2021-06-07T00:00:00.000Z","Central","Retail","Miscellaneous",4,28.19,112.76,"Credit card",0.03
"C27","2021-06-07T00:00:00.000Z","Central","Retail","Breaking system",7,16.33,114.3,"Credit card",0.03
"C28","2021-06-07T00:00:00.000Z","Central","Wholesale","Suspension & traction",40,28.64,1145.47,"Transfer",0.01
"C29","2021-06-07T00:00:00.000Z","Central","Retail","Breaking system",6,24.6,147.61,"Credit card",0.03
"C30","2021-06-08T00:00:00.000Z","Central","Retail","Breaking system",10,19.21,192.05,"Cash",0
"C31","2021-06-08T00:00:00.000Z","Central","Wholesale","Frame & body",8,44.14,353.11,"Transfer",0.01
"C32","2021-06-08T00:00:00.000Z","Central","Retail","Miscellaneous",8,24.76,198.05,"Credit card",0.03
"C33","2021-06-08T00:00:00.000Z","Central","Wholesale","Breaking system",40,20.77,830.67,"Transfer",0.01
"C34","2021-06-08T00:00:00.000Z","Central","Wholesale","Miscellaneous",40,18.87,754.73,"Transfer",0.01
"C35","2021-06-08T00:00:00.000Z","Central","Retail","Suspension & traction",2,33.18,66.37,"Credit card",0.03
"C36","2021-06-08T00:00:00.000Z","Central","Retail","Frame & body",3,41.42,124.25,"Credit card",0.03
"C37","2021-06-09T00:00:00.000Z","Central","Wholesale","Breaking system",36,16.51,594.24,"Transfer",0.01
"C38","2021-06-09T00:00:00.000Z","Central","Retail","Frame & body",8,35.31,282.47,"Credit card",0.03
"C39","2021-06-09T00:00:00.000Z","Central","Retail","Breaking system",6,16.55,99.32,"Credit card",0.03
"C40","2021-06-09T00:00:00.000Z","Central","Retail","Suspension & traction",10,27.63,276.33,"Credit card",0.03
"C41","2021-06-09T00:00:00.000Z","Central","Wholesale","Suspension & traction",12,28.65,343.8,"Transfer",0.01
"C42","2021-06-10T00:00:00.000Z","Central","Retail","Electrical system",4,18.96,75.85,"Credit card",0.03
"C43","2021-06-10T00:00:00.000Z","Central","Retail","Frame & body",8,47.3,378.37,"Credit card",0.03
"C44","2021-06-10T00:00:00.000Z","Central","Retail","Electrical system",5,29.13,145.66,"Credit card",0.03
"C45","2021-06-10T00:00:00.000Z","Central","Retail","Breaking system",7,21.64,151.5,"Credit card",0.03
"C46","2021-06-11T00:00:00.000Z","Central","Wholesale","Breaking system",28,14.46,404.93,"Transfer",0.01
"C47","2021-06-12T00:00:00.000Z","Central","Retail","Electrical system",2,26.2,52.41,"Credit card",0.03
"C48","2021-06-12T00:00:00.000Z","Central","Retail","Suspension & traction",7,33.51,234.58,"Credit card",0.03
"C49","2021-06-12T00:00:00.000Z","Central","Retail","Electrical system",1,21.18,21.18,"Cash",0
"C50","2021-06-12T00:00:00.000Z","Central","Retail","Frame & body",6,37.17,223.01,"Credit card",0.03
"C51","2021-06-12T00:00:00.000Z","Central","Retail","Breaking system",10,22.21,222.08,"Credit card",0.03
"C52","2021-06-12T00:00:00.000Z","Central","Retail","Suspension & traction",10,41.25,412.5,"Credit card",0.03
"C53","2021-06-12T00:00:00.000Z","Central","Retail","Electrical system",8,31.93,255.41,"Credit card",0.03
"C54","2021-06-13T00:00:00.000Z","Central","Retail","Frame & body",6,45.43,272.6,"Credit card",0.03
"C55","2021-06-13T00:00:00.000Z","Central","Retail","Electrical system",10,23.61,236.08,"Cash",0
"C56","2021-06-13T00:00:00.000Z","Central","Wholesale","Breaking system",8,18.31,146.48,"Transfer",0.01
"C57","2021-06-13T00:00:00.000Z","Central","Retail","Miscellaneous",2,25.4,50.8,"Credit card",0.03
"C58","2021-06-13T00:00:00.000Z","Central","Retail","Breaking system",1,20.72,20.72,"Credit card",0.03
"C59","2021-06-14T00:00:00.000Z","Central","Retail","Miscellaneous",1,27.47,27.47,"Credit card",0.03
"C60","2021-06-14T00:00:00.000Z","Central","Retail","Electrical system",7,26.9,188.31,"Credit card",0.03
"C61","2021-06-14T00:00:00.000Z","Central","Retail","Frame & body",1,39.14,39.14,"Credit card",0.03
"C62","2021-06-14T00:00:00.000Z","Central","Retail","Miscellaneous",5,29.95,149.74,"Credit card",0.03
"C63","2021-06-14T00:00:00.000Z","Central","Retail","Miscellaneous",7,25.51,178.57,"Credit card",0.03
"C64","2021-06-14T00:00:00.000Z","Central","Retail","Electrical system",1,19.62,19.62,"Credit card",0.03
"C65","2021-06-14T00:00:00.000Z","Central","Wholesale","Electrical system",12,26.74,320.94,"Transfer",0.01
"C66","2021-06-14T00:00:00.000Z","Central","Retail","Breaking system",4,11.35,45.39,"Credit card",0.03
"C67","2021-06-14T00:00:00.000Z","Central","Retail","Engine",7,58.86,412.06,"Credit card",0.03
"C68","2021-06-15T00:00:00.000Z","Central","Wholesale","Engine",28,63.54,1779.07,"Transfer",0.01
"C69","2021-06-15T00:00:00.000Z","Central","Retail","Suspension & traction",10,41.23,412.28,"Credit card",0.03
"C70","2021-06-15T00:00:00.000Z","Central","Retail","Breaking system",2,20.59,41.17,"Credit card",0.03
"C71","2021-06-15T00:00:00.000Z","Central","Retail","Electrical system",5,29.28,146.38,"Credit card",0.03
"C72","2021-06-15T00:00:00.000Z","Central","Wholesale","Frame & body",24,48.95,1174.88,"Transfer",0.01
"C73","2021-06-15T00:00:00.000Z","Central","Retail","Engine",10,61.08,610.78,"Credit card",0.03
"C74","2021-06-16T00:00:00.000Z","Central","Retail","Suspension & traction",10,40.93,409.3,"Credit card",0.03
"C75","2021-06-16T00:00:00.000Z","Central","Retail","Miscellaneous",9,28.88,259.89,"Credit card",0.03
"C76","2021-06-16T00:00:00.000Z","Central","Retail","Frame & body",7,48.46,339.2,"Credit card",0.03
"C77","2021-06-16T00:00:00.000Z","Central","Retail","Frame & body",2,35.92,71.83,"Credit card",0.03
"C78","2021-06-16T00:00:00.000Z","Central","Retail","Breaking system",4,14.87,59.47,"Credit card",0.03
"C79","2021-06-16T00:00:00.000Z","Central","Retail","Frame & body",7,36.19,253.33,"Cash",0
"C80","2021-06-16T00:00:00.000Z","Central","Retail","Miscellaneous",9,22.1,198.9,"Credit card",0.03
"C81","2021-06-16T00:00:00.000Z","Central","Wholesale","Breaking system",4,16.89,67.57,"Transfer",0.01
"C82","2021-06-17T00:00:00.000Z","Central","Retail","Suspension & traction",7,40.76,285.36,"Credit card",0.03
"C83","2021-06-17T00:00:00.000Z","Central","Retail","Frame & body",2,40.1,80.21,"Credit card",0.03
"C84","2021-06-17T00:00:00.000Z","Central","Wholesale","Frame & body",20,45.32,906.4,"Transfer",0.01
"C85","2021-06-17T00:00:00.000Z","Central","Wholesale","Electrical system",8,27.14,217.09,"Transfer",0.01
"C86","2021-06-17T00:00:00.000Z","Central","Wholesale","Miscellaneous",8,22.98,183.85,"Transfer",0.01
"C87","2021-06-17T00:00:00.000Z","Central","Wholesale","Miscellaneous",8,24.28,194.2,"Transfer",0.01
"C88","2021-06-17T00:00:00.000Z","Central","Wholesale","Suspension & traction",4,39.45,157.81,"Transfer",0.01
"C89","2021-06-18T00:00:00.000Z","Central","Wholesale","Frame & body",36,48.44,1743.78,"Transfer",0.01
"C90","2021-06-18T00:00:00.000Z","Central","Wholesale","Breaking system",24,11.25,269.92,"Transfer",0.01
"C91","2021-06-18T00:00:00.000Z","Central","Retail","Miscellaneous",8,16.63,133.05,"Credit card",0.03
"C92","2021-06-18T00:00:00.000Z","Central","Retail","Breaking system",7,18.46,129.2,"Credit card",0.03
"C93","2021-06-19T00:00:00.000Z","Central","Retail","Suspension & traction",6,33.82,202.89,"Credit card",0.03
"C94","2021-06-19T00:00:00.000Z","Central","Retail","Frame & body",3,43.84,131.53,"Credit card",0.03
"C95","2021-06-19T00:00:00.000Z","Central","Retail","Electrical system",8,18.68,149.47,"Credit card",0.03
"C96","2021-06-20T00:00:00.000Z","Central","Retail","Suspension & traction",3,31.25,93.74,"Credit card",0.03
"C97","2021-06-20T00:00:00.000Z","Central","Wholesale","Frame & body",16,47.16,754.48,"Transfer",0.01
"C98","2021-06-20T00:00:00.000Z","Central","Retail","Suspension & traction",2,33.91,67.81,"Credit card",0.03
"C99","2021-06-21T00:00:00.000Z","Central","Retail","Frame & body",1,49.69,49.69,"Credit card",0.03
"C100","2021-06-22T00:00:00.000Z","Central","Retail","Suspension & traction",5,31.56,157.82,"Credit card",0.03
"C101","2021-06-22T00:00:00.000Z","Central","Retail","Engine",6,59.3,355.81,"Cash",0
"C102","2021-06-22T00:00:00.000Z","Central","Wholesale","Engine",4,63.58,254.34,"Transfer",0.01
"C103","2021-06-22T00:00:00.000Z","Central","Retail","Engine",5,53.4,266.98,"Credit card",0.03
"C104","2021-06-22T00:00:00.000Z","Central","Retail","Breaking system",5,13.14,65.72,"Credit card",0.03
"C105","2021-06-23T00:00:00.000Z","Central","Retail","Electrical system",5,18.5,92.49,"Credit card",0.03
"C106","2021-06-23T00:00:00.000Z","Central","Wholesale","Breaking system",32,14.74,471.84,"Transfer",0.01
"C107","2021-06-23T00:00:00.000Z","Central","Retail","Suspension & traction",6,38.96,233.77,"Cash",0
"C108","2021-06-23T00:00:00.000Z","Central","Retail","Electrical system",1,30.51,30.51,"Credit card",0.03
"C109","2021-06-23T00:00:00.000Z","Central","Retail","Breaking system",7,15.91,111.35,"Credit card",0.03
"C110","2021-06-24T00:00:00.000Z","Central","Retail","Frame & body",6,37.18,223.08,"Credit card",0.03
"C111","2021-06-24T00:00:00.000Z","Central","Retail","Electrical system",10,23.38,233.83,"Credit card",0.03
"C112","2021-06-24T00:00:00.000Z","Central","Retail","Electrical system",7,29.31,205.19,"Credit card",0.03
"C113","2021-06-24T00:00:00.000Z","Central","Retail","Suspension & traction",5,37.21,186.07,"Credit card",0.03
"C114","2021-06-24T00:00:00.000Z","Central","Retail","Frame & body",10,46.1,461,"Credit card",0.03
"C115","2021-06-24T00:00:00.000Z","Central","Retail","Breaking system",3,23.87,71.61,"Credit card",0.03
"C116","2021-06-25T00:00:00.000Z","Central","Retail","Breaking system",2,18.49,36.99,"Credit card",0.03
"C117","2021-06-25T00:00:00.000Z","Central","Retail","Miscellaneous",7,21.42,149.93,"Cash",0
"C118","2021-06-25T00:00:00.000Z","Central","Retail","Electrical system",4,25.19,100.75,"Credit card",0.03
"C119","2021-06-25T00:00:00.000Z","Central","Retail","Frame & body",2,36.98,73.96,"Credit card",0.03
"C120","2021-06-25T00:00:00.000Z","Central","Retail","Engine",1,66.02,66.02,"Credit card",0.03
"C121","2021-06-25T00:00:00.000Z","Central","Retail","Miscellaneous",5,28.06,140.3,"Credit card",0.03
"C122","2021-06-25T00:00:00.000Z","Central","Retail","Breaking system",7,14.94,104.56,"Cash",0
"C123","2021-06-25T00:00:00.000Z","Central","Retail","Electrical system",10,31.75,317.5,"Credit card",0.03
"C124","2021-06-26T00:00:00.000Z","Central","Wholesale","Miscellaneous",8,26.48,211.84,"Transfer",0.01
"C125","2021-06-26T00:00:00.000Z","Central","Retail","Frame & body",5,41.92,209.62,"Credit card",0.03
"C126","2021-06-26T00:00:00.000Z","Central","Retail","Breaking system",2,13.89,27.78,"Credit card",0.03
"C127","2021-06-26T00:00:00.000Z","Central","Retail","Breaking system",3,24.45,73.34,"Credit card",0.03
"C128","2021-06-26T00:00:00.000Z","Central","Wholesale","Electrical system",36,28.23,1016.22,"Transfer",0.01
"C129","2021-06-26T00:00:00.000Z","Central","Retail","Suspension & traction",4,29.26,117.03,"Credit card",0.03
"C130","2021-06-26T00:00:00.000Z","Central","Retail","Electrical system",7,31.18,218.26,"Credit card",0.03
"C131","2021-06-26T00:00:00.000Z","Central","Retail","Breaking system",2,21.9,43.79,"Credit card",0.03
"C132","2021-06-26T00:00:00.000Z","Central","Wholesale","Miscellaneous",20,26.68,533.5,"Transfer",0.01
"C133","2021-06-26T00:00:00.000Z","Central","Retail","Breaking system",10,14.66,146.58,"Credit card",0.03
"C134","2021-06-26T00:00:00.000Z","Central","Retail","Electrical system",3,22.3,66.9,"Credit card",0.03
"C135","2021-06-27T00:00:00.000Z","Central","Wholesale","Breaking system",36,17.34,624.42,"Transfer",0.01
"C136","2021-06-27T00:00:00.000Z","Central","Wholesale","Electrical system",40,24.43,977.13,"Transfer",0.01
"C137","2021-06-27T00:00:00.000Z","Central","Retail","Engine",4,66.03,264.11,"Credit card",0.03
"C138","2021-06-27T00:00:00.000Z","Central","Retail","Suspension & traction",10,33.17,331.68,"Credit card",0.03
"C139","2021-06-27T00:00:00.000Z","Central","Retail","Frame & body",10,35.73,357.27,"Credit card",0.03
"C140","2021-06-28T00:00:00.000Z","Central","Retail","Breaking system",5,12.3,61.52,"Cash",0
"C141","2021-06-28T00:00:00.000Z","Central","Retail","Frame & body",9,46.34,417.1,"Credit card",0.03
"C142","2021-06-28T00:00:00.000Z","Central","Retail","Engine",8,62.56,500.49,"Credit card",0.03
"C143","2021-06-28T00:00:00.000Z","Central","Retail","Engine",1,53.19,53.19,"Credit card",0.03
"C144","2021-06-28T00:00:00.000Z","Central","Retail","Electrical system",8,33.19,265.55,"Credit card",0.03
"C145","2021-06-28T00:00:00.000Z","Central","Wholesale","Electrical system",12,31.13,373.6,"Transfer",0.01
"C146","2021-06-28T00:00:00.000Z","Central","Retail","Suspension & traction",4,36.64,146.54,"Cash",0
"C147","2021-06-28T00:00:00.000Z","Central","Wholesale","Suspension & traction",40,28.57,1142.87,"Transfer",0.01
"C148","2021-06-28T00:00:00.000Z","Central","Retail","Electrical system",5,19.57,97.84,"Credit card",0.03
"C149","2021-06-28T00:00:00.000Z","Central","Wholesale","Engine",36,62.02,2232.66,"Transfer",0.01
"C150","2021-06-29T00:00:00.000Z","Central","Wholesale","Breaking system",16,13.77,220.32,"Transfer",0.01
"C151","2021-06-29T00:00:00.000Z","Central","Retail","Engine",1,56.72,56.72,"Credit card",0.03
"C152","2021-06-29T00:00:00.000Z","Central","Retail","Frame & body",10,37.78,377.78,"Credit card",0.03
"C153","2021-06-29T00:00:00.000Z","Central","Retail","Miscellaneous",6,27.34,164.05,"Credit card",0.03
"C154","2021-06-30T00:00:00.000Z","Central","Retail","Suspension & traction",8,32.07,256.56,"Credit card",0.03
"C155","2021-06-30T00:00:00.000Z","Central","Retail","Electrical system",4,20.61,82.43,"Credit card",0.03
"C156","2021-06-30T00:00:00.000Z","Central","Retail","Suspension & traction",1,28.83,28.83,"Credit card",0.03
"C157","2021-06-30T00:00:00.000Z","Central","Wholesale","Suspension & traction",20,26.76,535.1,"Transfer",0.01
"C158","2021-07-01T00:00:00.000Z","Central","Retail","Breaking system",10,18.7,186.97,"Credit card",0.03
"C159","2021-07-01T00:00:00.000Z","Central","Retail","Suspension & traction",6,32.56,195.35,"Credit card",0.03
"C160","2021-07-01T00:00:00.000Z","Central","Retail","Breaking system",2,19.85,39.69,"Cash",0
"C161","2021-07-01T00:00:00.000Z","Central","Retail","Electrical system",10,28.69,286.88,"Credit card",0.03
"C162","2021-07-01T00:00:00.000Z","Central","Retail","Electrical system",4,23.83,95.33,"Credit card",0.03
"C163","2021-07-01T00:00:00.000Z","Central","Retail","Frame & body",1,45.97,45.97,"Credit card",0.03
"C164","2021-07-01T00:00:00.000Z","Central","Retail","Frame & body",6,46.66,279.93,"Credit card",0.03
"C165","2021-07-01T00:00:00.000Z","Central","Wholesale","Electrical system",36,31.31,1127.22,"Transfer",0.01
"C166","2021-07-02T00:00:00.000Z","Central","Retail","Suspension & traction",9,28.84,259.6,"Credit card",0.03
"C167","2021-07-03T00:00:00.000Z","Central","Retail","Breaking system",7,12.59,88.15,"Credit card",0.03
"C168","2021-07-03T00:00:00.000Z","Central","Retail","Electrical system",7,21.04,147.3,"Cash",0
"C169","2021-07-03T00:00:00.000Z","Central","Wholesale","Breaking system",8,22.22,177.8,"Transfer",0.01
"C170","2021-07-03T00:00:00.000Z","Central","Wholesale","Breaking system",36,16.09,579.3,"Transfer",0.01
"C171","2021-07-03T00:00:00.000Z","Central","Wholesale","Suspension & traction",8,34.35,274.81,"Transfer",0.01
"C172","2021-07-03T00:00:00.000Z","Central","Retail","Suspension & traction",8,40.65,325.16,"Credit card",0.03
"C173","2021-07-04T00:00:00.000Z","Central","Retail","Breaking system",1,17.3,17.3,"Credit card",0.03
"C174","2021-07-04T00:00:00.000Z","Central","Wholesale","Miscellaneous",28,28.57,799.87,"Transfer",0.01
"C175","2021-07-04T00:00:00.000Z","Central","Wholesale","Frame & body",4,45.66,182.65,"Transfer",0.01
